"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_0001","638105385","27","1397","+","0.34","1371","457","chromosomal replication initiator protein DnaA","113473943","4242308","dnaA"
"Tery_0002","638105386","1489","1689","-","0.26","201","67","putative transposase gene of IS630 family insertion sequence ISY100h","113473944","4242309","-"
"Tery_0004","639331258","1995","2393","-","0.28","399","133","-","-","-","-"
"Tery_0005","639331259","9021","9395","+","0.42","375","125","-","-","-","-"
"Tery_0006","638105387","9478","9756","-","0.4","279","93","putative intron group II, inRNA","113473945","4242313","-"
"Tery_0007","639331260","9983","10273","+","0.39","291","97","-","-","-","-"
"Tery_0008","638105388","10371","10973","+","0.35","603","201","DNA-directed DNA polymerase( EC:2.7.7.7 )","113473946","4242315","-"
"Tery_0009","639331261","11269","11829","-","0.33","561","187","-","-","-","-"
"Tery_0010","638105389","11838","12341","-","0.34","504","168","putative transposase","113473947","4242317","-"
"Tery_0011","638105390","12895","15912","+","0.28","3018","1006","conserved hypothetical protein","113473948","4242318","-"
"Tery_0012","638105391","17126","20872","+","0.29","3747","1249","helicase-like","113473949","4242319","-"
"Tery_0013","638105392","21246","22433","-","0.38","1188","396","arsenite-activated ATPase ArsA( EC:3.6.3.16 )","113473950","4242320","-"
"Tery_0014","638105393","22680","23072","-","0.36","393","131","conserved hypothetical protein","113473951","4242321","-"
"Tery_0015","638105394","23799","24329","-","0.29","531","177","pentapeptide repeat","113473952","4241822","-"
"Tery_0016","639331262","24612","24890","+","0.41","279","93","-","-","-","-"
"Tery_0017","638105395","24984","25247","-","0.34","264","88","hypothetical protein","113473953","4241824","-"
"Tery_0018","638105396","25441","27636","-","0.43","2196","732","Rho termination factor-like","113473954","4241825","-"
"Tery_0019","638105397","28954","30639","+","0.4","1686","562","dihydroxy-acid dehydratase( EC:4.2.1.9 )","113473955","4241826","-"
"Tery_0020","638105398","31434","32471","-","0.31","1038","346","transposase","113473956","4241827","-"
"Tery_0021","638105399","33065","35353","+","0.36","2289","763","FHA modulated glycosyl transferase/transpeptidase( EC:2.4.1.129 )","113473957","4241828","-"
"Tery_0022","638105400","36830","38158","+","0.28","1329","443","Tetratricopeptide TPR_2","113473958","4241829","-"
"Tery_0023","638105401","39907","40488","+","0.3","582","194","Tetratricopeptide TPR_2","113473959","4241830","-"
"Tery_0024","638105402","40836","41411","+","0.32","576","192","hypothetical protein","113473960","4241831","-"
"Tery_0025","638105403","41475","41900","+","0.31","426","142","hypothetical protein","113473961","4241832","-"
"Tery_0027","638105404","45501","48125","-","0.41","2625","875","DNA topoisomerase I( EC:5.99.1.2 )","113473962","4241834","-"
"Tery_0028","638105405","48918","49433","+","0.4","516","172","hypothetical protein","113473963","4241835","-"
"Tery_0029","639331264","51305","51757","-","0.29","453","151","-","-","-","-"
"Tery_0030","639331265","53747","54048","+","0.3","302","100.6666667","-","-","-","-"
"Tery_0032","639331266","55038","55628","+","0.33","591","197","-","-","-","-"
"Tery_0033","638105407","55816","56544","+","0.35","729","243","protein of unknown function DUF477","113473965","4241840","-"
"Tery_0034","638105408","56599","56982","-","0.34","384","128","Ycf91-like protein.","113473966","4241841","-"
"Tery_0035","638105409","57894","58106","-","0.32","213","71","hypothetical protein","113473967","4242572","-"
"Tery_0036","639331267","58663","58878","+","0.36","216","72","-","-","-","-"
"Tery_0040","638105412","63117","63416","-","0.35","300","100","conserved hypothetical protein","113473970","4242577","-"
"Tery_0041","638105413","64428","64763","+","0.33","336","112","conserved hypothetical protein","113473971","4242578","-"
"Tery_0042","639331269","65393","65835","-","0.34","443","147.6666667","-","-","-","-"
"Tery_0043","638105414","66565","67806","-","0.42","1242","414","arginine biosynthesis bifunctional protein ArgJ( EC:2.3.1.35,EC:2.3.1.1 )","113473972","4242580","argJ"
"Tery_0044","639331270","68207","68550","-","0.41","344","114.6666667","-","-","-","-"
"Tery_0045","638105415","68747","70330","-","0.41","1584","528","glycoside hydrolase, family 57","113473973","4242582","-"
"Tery_0046","638105416","71135","71347","+","0.37","213","71","hypothetical protein","113473974","4242583","-"
"Tery_0047","638105417","71367","72836","+","0.37","1470","490","GUN4-like","113473975","4242584","-"
"Tery_0049","638105418","73445","73846","-","0.28","402","134","conserved hypothetical protein","113473976","4242586","-"
"Tery_0050","638105419","73849","74169","+","0.36","321","107","hypothetical protein","113473977","4242587","-"
"Tery_0051","638105420","74354","74533","+","0.27","180","60","hypothetical protein","113473978","4242588","-"
"Tery_0054","638105422","76285","76875","+","0.32","591","197","putative signal transduction protein with Nacht domain","113473980","4242437","-"
"Tery_0055","639331273","76940","77529","+","0.39","590","196.6666667","-","-","-","-"
"Tery_0056","638105423","77526","78212","+","0.33","687","229","hypothetical protein","113473981","4242439","-"
"Tery_0057","638105424","78349","81126","+","0.31","2778","926","HEAT domain containing protein","113473982","4242440","-"
"Tery_0058","638105425","81365","81982","-","0.33","618","206","pentapeptide repeat","113473983","4242441","-"
"Tery_0059","638105426","82492","84570","-","0.39","2079","693","serine/threonine protein kinase with WD40 repeats","113473984","4242442","-"
"Tery_0060","638105427","84932","85924","+","0.35","993","331","oxidoreductase, molybdopterin binding","113473985","4242443","-"
"Tery_0061","639331274","87142","87384","+","0.41","243","81","-","-","-","-"
"Tery_0062","639331275","87868","88340","-","0.27","473","157.6666667","-","-","-","-"
"Tery_0063","639331276","88341","88580","-","0.29","240","80","-","-","-","-"
"Tery_0064","638105428","90562","90864","-","0.24","303","101","transposase  IS4 family","113473986","4242447","-"
"Tery_0065","638105429","92566","92754","-","0.34","189","63","transposase","113473987","4242448","-"
"Tery_0066","638105430","92879","93088","-","0.27","210","70","hypothetical protein","113473988","4242449","-"
"Tery_0067","639331277","93274","93909","+","0.39","636","212","-","-","-","-"
"Tery_0068","638105431","94221","94430","+","0.4","210","70","conserved hypothetical protein","113473989","4242451","-"
"Tery_0069","638105432","94683","96173","+","0.4","1491","497","Leucyl aminopeptidase( EC:3.4.11.1 )","113473990","4242452","-"
"Tery_0070","638105433","96964","97182","-","0.42","219","73","hypothetical protein","113473991","4242453","-"
"Tery_0071","638105434","98280","99698","+","0.38","1419","473","isocitrate dehydrogenase, NADP-dependent( EC:1.1.1.42 )","113473992","4242454","-"
